role,side,spread_bucket,season_phase,completed_quarters,completed_path,next_quarter,sample_size,sample_quality,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
FAVORITE,home,0.5-1.5,EARLY,2,WIN-WIN,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,home,0.5-1.5,EARLY,2,WIN-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,home,0.5-1.5,EARLY,3,WIN-WIN-LOSS,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,home,0.5-1.5,EARLY,3,WIN-LOSS-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,home,0.5-1.5,MIDDLE,1,LOSS,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,home,0.5-1.5,MIDDLE,2,LOSS-LOSS,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,home,0.5-1.5,MIDDLE,3,LOSS-LOSS-LOSS,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,away,0.5-1.5,EARLY,1,LOSS,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,away,0.5-1.5,EARLY,2,LOSS-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,away,0.5-1.5,EARLY,3,LOSS-LOSS-WIN,Q4,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,away,0.5-1.5,LATE,1,WIN,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,1,LOSS,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,1,TIE,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,2,WIN-WIN,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,2,LOSS-WIN,Q3,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,2,TIE-WIN,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,3,WIN-WIN-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,3,LOSS-WIN-TIE,Q4,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,LATE,3,TIE-WIN-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,away,0.5-1.5,MIDDLE,1,LOSS,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,away,0.5-1.5,MIDDLE,2,LOSS-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,away,0.5-1.5,MIDDLE,3,LOSS-LOSS-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,home,0.5-1.5,EARLY,1,WIN,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,home,0.5-1.5,EARLY,2,WIN-LOSS,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,home,0.5-1.5,EARLY,3,WIN-LOSS-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
UNDERDOG,home,0.5-1.5,LATE,1,LOSS,Q2,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,home,0.5-1.5,LATE,1,TIE,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,home,0.5-1.5,LATE,2,LOSS-TIE,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,home,0.5-1.5,LATE,2,TIE-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,home,0.5-1.5,LATE,3,LOSS-TIE-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
UNDERDOG,home,0.5-1.5,LATE,3,TIE-LOSS-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
